"Zone","District","PC_Num","PC_Name","AC_Num","AC_Name","Total_Electors","Urban","Rural","Hindu","Islam","Other_Rel","Gen_OBC","SC","ST","Largest_Caste_Name","Largest_Caste","Second_Caste_Name","Second Largest Caste","Third_Caste_Name","Third_Caste","Fourth_Caste_Name","Fourth_Caste","Fifth_Caste_Name","Fifth_Caste","Sum_5_Caste","Winner_LS19","Party_LS19","Caste_LS19","Runner_LS19","Runner_Party_LS19","Runner_Caste_LS19","Margin_LS19","BJP_LS19","INC_LS19","SP_LS19","BSP_LS19","Other_LS19","Winner_AE17","Party_AE17","Caste_AE17","Runner_AE17","Runner_Party_AE17","Runner_Caste_AE17","Margin_AE17","BJP_AE17","INC_AE17","SP_AE17","BSP_AE17","Other_AE17","Winner_LS14","Party_LS14","Caste_LS14","Runner_LS14","Runner_Party_LS14","Runner_Caste_LS14","Margin_LS14","BJP_LS14","INC_LS14","SP_LS14","BSP_LS14","Other_LS14","Winner_AE12","Party_AE12","Caste_AE12","Runner_AE12","Runner_Party_AE12","Runner_Caste_AE12","Margin_AE12","BJP_AE12","INC_AE12","SP_AE12","BSP_AE12","Other_AE12","Ahirwar","Baghel","Baniya","Bhumihar","Bind","Brahmin","Bunkar","Chamar","Chaudhary","Diwakar","Dohre","Dom","Gond","Goswami","Gujjar","Gurjar","Jat","Jatav","Kadakvanshi","Kashyap","Katheria","Kayastha","Kharwar","Khatik","Kisan","Koli","Kori","Kurmi","Kushwaha","Lodhi","Lodhi Rajput","Maurya","Muslim","Nishad","Other","Pal","Pandit","Pasi","Paswan","Patel","Punjabi","Raidas","Rajbhar","Rawat","Saharaiya","Saini","Sainthwar","Sankhwar","Shakya","Sindhi","Teli","Thakur","Tharu","Tyagi","Vaishya","Vanwasi","Yadav","BJP_AE12_can","SP_AE12_can","BSP_AE12_can","INC_AE12_can","BJP_AE17_can","SP_AE17_can","BSP_AE17_can","INC_AE17_can","BJP_LS14_can","SP_LS14_can","BSP_LS14_can","INC_LS14_can","BJP_LS19_can","SP_LS19_can","BSP_LS19_can","INC_LS19_can"
"West","Saharanpur",1,"Saharanpur",1,"Behat",353476,0.095663281,0.904336719,0.480062385,0.509145122,0.0107924930000001,0.804821431,0.194910792,0.000267777,"Muslim",0.3588,"Jatav",0.1542,"Thakur",0.1127,"Saini",0.1097,"Kashyap",0.0623,0.797746145,"HAJI FAZLUR REHMAN","BSP",NA,"RAGHAV LAKHANPAL","BJP",NA,0.044,0.3519,0.236,0,0.3959,0.0162,"NARESH SAINI","INC",NA,"MAHAVEER SINGH RANA","BJP",NA,0.1013,0.2829,0.3842,0,0.2812,0.0517,"IMRAN MASOOD","INC",NA,"RAGHAV LAKHANPAL","BJP",NA,0.0437,0.3283,0.372,0.0702,0.2092,0.0203,"Mahaveer Singh Rana","BSP",NA,"Naresh","INC",NA,0.003,0.107,0.315,0.214,0.318,0.046,0,0,0,0,0,0.0341,0,0,0,0,0,0,0,0,0,0.0119,0.0119,0.1542,0,0.0623,0,0,0,0,0,0,0,0,0,0,0,0,0.3588,0,0,0.0252,0,0,0,0,0,0,0,0,0,0.1097,0,0,0,0,0,0.1127,0,0.0089,0.0252,0,0,"Ajay Chauhan","Umar Ali Khan","Mahaveer Singh Rana","Naresh","Mahaveer Singh Rana","","Mohd. Iqbal","Naresh Saini","Raghav Lakhanpal","Shazan Masood Urf Shadan Masood","Jagdish Singh Rana","Imran Masood","Raghav Lakhanpal","","Haji Fazlur Rehman","Imran Masood"
"West","Saharanpur",2,"Kairana",2,"Nakur",341909,0.210426006,0.789573994,0.600021973,0.385445053,0.014532974,0.816411633,0.183571649,1.67e-05,"Muslim",0.3258,"Jatav",0.1777,"Other",0.1096,"Gurjar",0.1037,"Saini",0.0652,0.78202295,"Tabassum Begum","SP",NA,"Pradeep Kumar","BJP",NA,0.0159,0.4545,0.0673,0.4704,0,0.0078,"DR.DHARAM SINGH SAINI","BJP",NA,"IMRAN MASOOD","INC",NA,0.0159,0.3693,0.3535,0,0.2557,0.0215,"HUKUM SINGH","BJP",NA,"NAHID HASAN","SP",NA,0.1386,0.4401,0,0.3015,0.2268,0.0316,"Dr. Dharam Singh Saini","BSP",NA,"Imran Masood","INC",NA,0.019,0.029,0.367,0.128,0.386,0.09,0,0,0,0,0,0.0178,0,0,0,0,0,0,0,0,0,0.1037,0.0296,0.1777,0,0.0533,0,0,0,0,0,0,0.0017,0,0,0,0,0,0.3258,0,0.1096,0.0059,0,0,0,0,0,0,0,0,0,0.0652,0,0,0,0,0,0.0148,0,0,0.003,0,0,"Mela Ram","Firoz Aftab","Dr. Dharam Singh Saini","Imran Masood","Dr.Dharam Singh Saini","","Naveen Choudhary","Imran Masood","Hukum Singh","Nahid Hasan","Kanwar Hasan","","Pradeep Kumar","Tabassum Begum","","Harendra Singh Malik"
"West","Saharanpur",1,"Saharanpur",3,"Saharanpur Nagar",410255,0.533937858,0.466062142,0.513505504,0.467761134,0.0187333619999999,0.784311982,0.215080529,0.000607488,"Muslim",0.4041,"Punjabi",0.2213,"Vaishya",0.107,"Jatav",0.0722,"Brahmin",0.0613,0.86600914,"RAGHAV LAKHANPAL","BJP",NA,"HAJI FAZLUR REHMAN","BSP",NA,0.2137,0.502,0.2035,0,0.2883,0.0062,"SANJAY GARG","SP",NA,"RAJIV GUMBER","BJP",NA,0.017,0.4498,0,0.4668,0.0637,0.0197,"RAGHAV LAKHANPAL","BJP",NA,"IMRAN MASOOD","INC",NA,0.0885,0.4972,0.4086,0.025,0.0561,0.0131,"Raghav Lakhanpal","BJP",NA,"Saleem Ahmed","INC",NA,0.057,0.388,0.331,0.09,0.165,0.026,0,0,0,0,0,0.0613,0,0,0,0,0,0,0,0,0,0.0096,0,0.0722,0,0.0241,0,0,0,0,0,0,0,0,0,0,0,0,0.4041,0,0,0,0,0,0,0,0.2213,0,0,0,0,0.0505,0,0,0,0,0,0.0125,0,0.0072,0.107,0,0,"Raghav Lakhanpal","Mazahirhasan","Sanjaya Garg","Saleem Ahmed","Rajiv Gumber","Sanjay Garg","Mukesh Dixit","","Raghav Lakhanpal","Shazan Masood Urf Shadan Masood","Jagdish Singh Rana","Imran Masood","Raghav Lakhanpal","","Haji Fazlur Rehman","Imran Masood"
"West","Saharanpur",1,"Saharanpur",4,"Saharanpur Dehat",332832,0.533542313,0.466457687,0.513474745,0.467800177,0.0187250779999999,0.78433097,0.215063137,0.000605893,"Muslim",0.3241,"Jatav",0.2778,"Saini",0.0864,"Thakur",0.0525,"Kashyap",0.0494,0.790123457,"HAJI FAZLUR REHMAN","BSP",NA,"RAGHAV LAKHANPAL","BJP",NA,0.2146,0.2964,0.1812,0,0.5111,0.0113,"MASOOD AKHTAR","INC",NA,"JAGPAL SINGH","BSP",NA,0.0519,0.2474,0.3693,0,0.3174,0.0659,"IMRAN MASOOD","INC",NA,"RAGHAV LAKHANPAL","BJP",NA,0.0714,0.3025,0.374,0.0455,0.2634,0.0146,"Jagpal","BSP",NA,"Ch. Abdul Wahid","INC",NA,0.084,0.053,0.312,0.211,0.396,0.028,0,0,0,0,0,0.0309,0,0,0,0,0,0,0,0,0,0.0278,0.0031,0.2778,0,0.0494,0,0,0,0,0,0,0,0,0,0,0,0,0.3241,0,0,0.0463,0,0,0,0,0,0,0,0,0,0.0864,0,0,0,0,0,0.0525,0,0.0216,0.0154,0,0.0278,"Vikram Singh","Abdul Sarfraz Khan","Jagpal","Ch. Abdul Wahid","Manoj Chaudhary","","Jagpal Singh","Masood Akhtar","Raghav Lakhanpal","Shazan Masood Urf Shadan Masood","Jagdish Singh Rana","Imran Masood","Raghav Lakhanpal","","Haji Fazlur Rehman","Imran Masood"
"West","Saharanpur",1,"Saharanpur",5,"Deoband",335357,0.192862101,0.807137899,0.620144191,0.375389024,0.00446678500000008,0.742180328,0.257812955,6.72e-06,"Jatav",0.2344,"Muslim",0.2315,"Thakur",0.1113,"Tyagi",0.0732,"Gurjar",0.0703,0.720773513,"HAJI FAZLUR REHMAN","BSP",NA,"RAGHAV LAKHANPAL","BJP",NA,0.0299,0.4423,0.0726,0,0.4721,0.013,"BRIJESH","BJP",NA,"MAJID ALI","BSP",NA,0.1255,0.4364,0,0.2364,0.3109,0.0163,"RAGHAV LAKHANPAL","BJP",NA,"IMRAN MASOOD","INC",NA,0.1593,0.4491,0.2898,0.0468,0.199,0.0153,"Rajendra Singh Rana","SP",NA,"Manoj Chaudhary","BSP",NA,0.016,0.051,0.232,0.341,0.325,0.051,0,0,0,0,0,0.0609,0,0,0,0,0,0,0,0,0,0.0703,0.0064,0.2344,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0.2315,0,0,0.0234,0,0,0,0,0,0,0,0,0,0.0674,0,0,0,0,0,0.1113,0,0.0732,0.0205,0,0.0205,"Rajpal Singh","Rajendra Singh Rana","Manoj Chaudhary","Anil Kumar Tanwar","Brijesh","Mavia Ali","Majid Ali","","Raghav Lakhanpal","Shazan Masood Urf Shadan Masood","Jagdish Singh Rana","Imran Masood","Raghav Lakhanpal","","Haji Fazlur Rehman","Imran Masood"
"West","Saharanpur",1,"Saharanpur",6,"Rampur Maniharan (SC)",307162,0.320181391,0.679818609,0.631394378,0.357671415,0.010934207,0.744020758,0.25571076,0.000268482,"Jatav",0.3078,"Muslim",0.2442,"Gurjar",0.1372,"Saini",0.0636,"Thakur",0.0519,0.804616928,"HAJI FAZLUR REHMAN","BSP",NA,"RAGHAV LAKHANPAL","BJP",NA,0.0512,0.4,0.1358,0,0.4512,0.013,"DEVENDER KUMAR NIM","BJP",NA,"RAVINDRA KUMAR MOLHU","BSP",NA,0.0027,0.3494,0.2824,0,0.3467,0.0215,"RAGHAV LAKHANPAL","BJP",NA,"JAGDISH SINGH RANA","BSP",NA,0.1076,0.3977,0.2576,0.0362,0.29,0.0185,"Ravinder Kumar Molhu","BSP",NA,"Vinod Kumar Tejyan","INC",NA,0.136,0.084,0.259,0.243,0.395,0.019,0,0,0,0,0,0.0418,0,0,0,0,0,0,0,0,0,0.1372,0.0301,0.3078,0,0.0385,0,0,0,0,0,0,0,0,0,0,0,0,0.2442,0,0,0,0,0,0,0,0.0077,0,0,0,0,0.0636,0,0,0,0,0,0.0519,0,0.0207,0.0074,0,0,"Rakesh Kumar Ganguli Valmiki","Vishvadayal Chotan","Ravinder Kumar Molhu","Vinod Kumar Tejyan","Devender Kumar Nim","","Ravindra Kumar Molhu","Vishva Dayal Chhotan","Raghav Lakhanpal","Shazan Masood Urf Shadan Masood","Jagdish Singh Rana","Imran Masood","Raghav Lakhanpal","","Haji Fazlur Rehman","Imran Masood"
"West","Saharanpur",2,"Kairana",7,"Gangoh",370109,0.18910539,0.81089461,0.657360749,0.330742837,0.011896414,0.779708475,0.220273993,1.75e-05,"Muslim",0.3339,"Gurjar",0.1252,"Other",0.103,"Jatav",0.0974,"Saini",0.0835,0.743012344,"Pradeep Kumar","BJP",NA,"Tabassum Begum","SP",NA,0.1181,0.5186,0.0726,0.4005,0,0.0083,"PRADEEP KUMAR","BJP",NA,"NAUMAN MASOOD","INC",NA,0.1478,0.3864,0.2386,0.1835,0.1737,0.0178,"HUKUM SINGH","BJP",NA,"NAHID HASAN","SP",NA,0.2213,0.4992,0,0.2779,0.1758,0.0471,"Pardeep Kumar","INC",NA,"Ruder Sain","SP",NA,0.017,0.067,0.284,0.267,0.179,0.203,0,0,0,0,0,0.0362,0,0,0,0,0,0,0,0,0,0.1252,0.0167,0.0974,0,0.0696,0,0,0,0,0,0,0.007,0,0,0,0,0,0.3339,0,0.103,0.0083,0,0,0,0,0,0,0,0,0,0.0835,0,0,0,0,0,0,0,0,0.001,0,0,"Shashi Bala Pundir","Ruder Sain","Shagufta Khan","Pardeep Kumar","Pradeep Kumar","Inder Sain","Mahipal Singh Majra","Nauman Masood","Hukum Singh","Nahid Hasan","Kanwar Hasan","","Pradeep Kumar","Tabassum Begum","","Harendra Singh Malik"
"West","Shamli",2,"Kairana",8,"Kairana",313277,0.289396055,0.710603945,0.453833365,0.529352677,0.016813958,0.920930118,0.078942783,0.000127099,"Muslim",0.3966,"Kashyap",0.1157,"Gurjar",0.0991,"Other",0.0892,"Jatav",0.0661,0.766688698,"Pradeep Kumar","BJP",NA,"Tabassum Begum","SP",NA,0.0746,0.4889,0.0865,0.4144,0,0.0102,"NAHID HASAN","SP",NA,"MRIGANKA SINGH","BJP",NA,0.1012,0.3714,0,0.4726,0.0329,0.1231,"HUKUM SINGH","BJP",NA,"NAHID HASAN","SP",NA,0.1287,0.4854,0,0.3568,0.1147,0.0431,"Hukum Singh","BJP",NA,"Anwar Hasan","BSP",NA,0.11,0.452,0,0.12,0.342,0.086,0,0,0,0,0,0.0099,0,0,0,0,0,0,0,0,0,0.0991,0.0496,0.0661,0,0.1157,0,0,0,0,0,0,0.0017,0,0,0,0,0,0.3966,0,0.0892,0,0,0,0,0,0.0083,0,0,0,0,0.0661,0,0,0,0,0,0.0066,0,0,0.0066,0,0,"Hukum Singh","Ayyub Jang","Anwar Hasan","","Mriganka Singh","Nahid Hasan","Diwakar Deshwal","","Hukum Singh","Nahid Hasan","Kanwar Hasan","","Pradeep Kumar","Tabassum Begum","","Harendra Singh Malik"
"West","Shamli",2,"Kairana",9,"Thana Bhawan",326231,0.313397415,0.686602585,0.657941848,0.334057683,0.00800046899999995,0.865257992,0.134689802,5.22e-05,"Muslim",0.2396,"Jat",0.1746,"Other",0.1016,"Jatav",0.0952,"Kashyap",0.0889,0.6998797,"Pradeep Kumar","BJP",NA,"Tabassum Begum","SP",NA,0.0596,0.5059,0.0385,0.4463,0,0.0093,"SURESH KUMAR","BJP",NA,"ABDUL WARIS KHAN","BSP",NA,0.0791,0.4278,0,0.0634,0.3488,0.16,"HUKUM SINGH","BJP",NA,"NAHID HASAN","SP",NA,0.2317,0.5209,0,0.2892,0.1137,0.0762,"Suresh Kumar","BJP",NA,"Ashraf Ali Khan","Rashtriya Lok Dal",NA,0.002,0.307,0,0.058,0.286,0.349,0,0,0,0,0,0.0206,0,0,0,0,0,0,0,0,0,0.0317,0.1746,0.0952,0,0.0889,0,0,0,0,0,0,0.0095,0,0,0,0,0,0.2396,0,0.1016,0.0073,0,0,0,0,0,0,0,0,0,0.0698,0,0,0,0,0,0.0181,0,0,0.0095,0,0,"Suresh Kumar","Kiran Pal Kashyap","Abdul Waris Khan","","Suresh Kumar","Sudhir Kumar","Abdul Waris Khan","","Hukum Singh","Nahid Hasan","Kanwar Hasan","","Pradeep Kumar","Tabassum Begum","","Harendra Singh Malik"
"West","Shamli",2,"Kairana",10,"Shamli",315177,0.308899832,0.691100168,0.619698726,0.370650734,0.00965053999999999,0.875689029,0.124244916,6.61e-05,"Jat",0.1894,"Muslim",0.1659,"Kashyap",0.1161,"Gurjar",0.0995,"Vaishya",0.0929,0.663853974,"Pradeep Kumar","BJP",NA,"Tabassum Begum","SP",NA,0.1847,0.5694,0.0395,0.3847,0,0.0064,"TEJENDRA NIRWAL","BJP",NA,"PANKAJ KUMAR MALIK","INC",NA,0.1514,0.3569,0.2056,0,0.0872,0.3503,"HUKUM SINGH","BJP",NA,"NAHID HASAN","SP",NA,0.3539,0.6067,0,0.2528,0.0627,0.0778,"Pankaj Kumar Malik","INC",NA,"Virendra Singh","SP",NA,0.023,0.054,0.321,0.298,0.271,0.056,0,0,7e-04,0,0,0.083,0,0,0,0,0,0,0,0,0,0.0995,0.1894,0.083,0,0.1161,0,0,0,0.0017,0,0,8e-04,0,0,0,0,0,0.1659,0,0.0873,0,0,0,0,0,0.0043,0,0,0,0,0.0431,0,0,0,0,0,0,0,0,0.0929,0,0,"Satyendra Verma","Virendra Singh","Balbir Singh","Pankaj Kumar Malik","Tejendra Nirwal","","Mohammad Islam","Pankaj Kumar Malik","Hukum Singh","Nahid Hasan","Kanwar Hasan","","Pradeep Kumar","Tabassum Begum","","Harendra Singh Malik"
